Trade #,Trade Type,Opening Date,Open Price,Closing Date,Closing Price,Stop loss?,Profit,Tolerance
117,Short,2024-01-31 09:25:00,4936.75,2024-01-31 09:25:00,4926.25,No,2100.0,5.0
119,Long,2024-01-31 13:40:00,4926.25,2024-01-31 15:40:00,4920.0,Yes,-1250.0,5.0
121,Short,2024-02-01 03:10:00,4883.75,2024-02-01 03:10:00,4875.5,No,1650.0,5.0
123,Long,2024-02-01 08:10:00,4875.5,2024-02-01 21:30:00,4925.0,No,9900.0,5.0
125,Short,2024-02-01 21:30:00,4925.0,2024-02-01 22:00:00,4930.25,Yes,-1050.0,5.0
127,Long,2024-02-02 04:30:00,4955.25,2024-02-02 14:30:00,4937.5,Yes,-3550.0,5.0
129,Short,2024-02-02 19:10:00,4977.0,2024-02-02 20:00:00,4983.75,Yes,-1350.0,5.0
131,Long,2024-02-05 01:15:00,4973.0,2024-02-05 01:35:00,4968.0,Yes,-1000.0,5.0
133,Short,2024-02-05 20:45:00,4976.5,2024-02-05 20:45:00,4961.0,No,3100.0,5.0
135,Long,2024-02-06 01:55:00,4961.0,2024-02-06 12:35:00,4955.25,Yes,-1150.0,5.0
137,Short,2024-02-07 02:40:00,4981.75,2024-02-07 02:40:00,4975.0,No,1350.0,5.0
139,Long,2024-02-07 06:15:00,4975.0,2024-02-07 14:35:00,4989.75,No,2950.0,5.0
141,Short,2024-02-07 14:35:00,4989.75,2024-02-07 15:15:00,4995.0,Yes,-1050.0,5.0
143,Long,2024-02-08 11:50:00,5009.0,2024-02-08 12:25:00,5004.0,Yes,-1000.0,5.0
145,Short,2024-02-08 17:00:00,5011.25,2024-02-08 21:20:00,5017.0,Yes,-1150.0,5.0
147,Long,2024-02-09 03:20:00,5014.5,2024-02-09 09:30:00,5023.0,No,1700.0,5.0
149,Short,2024-02-09 09:30:00,5023.0,2024-02-09 14:30:00,5035.0,Yes,-2400.0,5.0
151,Long,2024-02-12 01:50:00,5044.0,2024-02-12 17:20:00,5058.5,No,2900.0,5.0
153,Short,2024-02-12 17:20:00,5058.5,2024-02-12 17:30:00,5065.75,Yes,-1450.0,5.0
155,Long,2024-02-12 21:25:00,5040.25,2024-02-12 22:10:00,5034.0,Yes,-1250.0,5.0
157,Short,2024-02-14 01:20:00,4969.75,2024-02-14 07:40:00,4975.0,Yes,-1050.0,5.0
159,Long,2024-02-14 15:00:00,4992.0,2024-02-14 17:00:00,4983.0,Yes,-1800.0,5.0
