date,close,contract_month
2025-01-01 23:05:00+00:00,5954.25,202503
2025-01-01 23:10:00+00:00,5953.0,202503
2025-01-01 23:15:00+00:00,5950.25,202503
2025-01-01 23:20:00+00:00,5950.25,202503
2025-01-01 23:25:00+00:00,5948.75,202503
2025-01-01 23:30:00+00:00,5948.0,202503
2025-01-01 23:35:00+00:00,5946.5,202503
2025-01-01 23:40:00+00:00,5940.75,202503
2025-01-01 23:45:00+00:00,5937.5,202503
2025-01-01 23:50:00+00:00,5935.0,202503
2025-01-01 23:55:00+00:00,5939.0,202503
2025-01-02 00:00:00+00:00,5939.25,202503
2025-01-02 00:05:00+00:00,5927.5,202503
2025-01-02 00:10:00+00:00,5931.25,202503
2025-01-02 00:15:00+00:00,5928.0,202503
2025-01-02 00:20:00+00:00,5915.5,202503
2025-01-02 00:25:00+00:00,5917.5,202503
2025-01-02 00:30:00+00:00,5916.75,202503
2025-01-02 00:35:00+00:00,5922.0,202503
2025-01-02 00:40:00+00:00,5925.0,202503
2025-01-02 00:45:00+00:00,5932.0,202503
2025-01-02 00:50:00+00:00,5935.0,202503
2025-01-02 00:55:00+00:00,5936.0,202503
2025-01-02 01:00:00+00:00,5934.75,202503
2025-01-02 01:05:00+00:00,5940.25,202503
2025-01-02 01:10:00+00:00,5939.75,202503
2025-01-02 01:15:00+00:00,5942.5,202503
2025-01-02 01:20:00+00:00,5941.0,202503
2025-01-02 01:25:00+00:00,5945.5,202503
2025-01-02 01:30:00+00:00,5944.25,202503
2025-01-02 01:35:00+00:00,5941.5,202503
2025-01-02 01:40:00+00:00,5949.0,202503
2025-01-02 01:45:00+00:00,5948.0,202503
2025-01-02 01:50:00+00:00,5946.5,202503
2025-01-02 01:55:00+00:00,5950.25,202503
2025-01-02 02:00:00+00:00,5947.0,202503
2025-01-02 02:05:00+00:00,5947.0,202503
2025-01-02 02:10:00+00:00,5948.5,202503
2025-01-02 02:15:00+00:00,5948.5,202503
2025-01-02 02:20:00+00:00,5949.25,202503
2025-01-02 02:25:00+00:00,5949.0,202503
2025-01-02 02:30:00+00:00,5954.25,202503
2025-01-02 02:35:00+00:00,5953.5,202503
2025-01-02 02:40:00+00:00,5956.25,202503
2025-01-02 02:45:00+00:00,5957.25,202503
2025-01-02 02:50:00+00:00,5956.75,202503
2025-01-02 02:55:00+00:00,5954.25,202503
2025-01-02 03:00:00+00:00,5955.75,202503
2025-01-02 03:05:00+00:00,5954.75,202503
2025-01-02 03:10:00+00:00,5954.25,202503
2025-01-02 03:15:00+00:00,5953.75,202503
2025-01-02 03:20:00+00:00,5955.0,202503
2025-01-02 03:25:00+00:00,5957.25,202503
2025-01-02 03:30:00+00:00,5957.5,202503
2025-01-02 03:35:00+00:00,5956.75,202503
2025-01-02 03:40:00+00:00,5955.25,202503
2025-01-02 03:45:00+00:00,5952.75,202503
2025-01-02 03:50:00+00:00,5951.75,202503
2025-01-02 03:55:00+00:00,5953.75,202503
2025-01-02 04:00:00+00:00,5952.5,202503
2025-01-02 04:05:00+00:00,5952.0,202503
2025-01-02 04:10:00+00:00,5953.5,202503
2025-01-02 04:15:00+00:00,5952.0,202503
2025-01-02 04:20:00+00:00,5951.5,202503
2025-01-02 04:25:00+00:00,5949.5,202503
2025-01-02 04:30:00+00:00,5951.25,202503
