date,close,contract_month
2025-04-04 00:05:00+00:00,5434.0,202506
2025-04-04 00:10:00+00:00,5429.0,202506
2025-04-04 00:15:00+00:00,5428.5,202506
2025-04-04 00:20:00+00:00,5429.0,202506
2025-04-04 00:25:00+00:00,5426.75,202506
2025-04-04 00:30:00+00:00,5430.5,202506
2025-04-04 00:35:00+00:00,5426.75,202506
2025-04-04 00:40:00+00:00,5425.25,202506
2025-04-04 00:45:00+00:00,5423.0,202506
2025-04-04 00:50:00+00:00,5420.75,202506
2025-04-04 00:55:00+00:00,5422.5,202506
2025-04-04 01:00:00+00:00,5423.5,202506
2025-04-04 01:05:00+00:00,5423.75,202506
2025-04-04 01:10:00+00:00,5422.75,202506
2025-04-04 01:15:00+00:00,5420.75,202506
2025-04-04 01:20:00+00:00,5422.5,202506
2025-04-04 01:25:00+00:00,5428.0,202506
2025-04-04 01:30:00+00:00,5422.75,202506
2025-04-04 01:35:00+00:00,5419.25,202506
2025-04-04 01:40:00+00:00,5418.5,202506
2025-04-04 01:45:00+00:00,5419.25,202506
2025-04-04 01:50:00+00:00,5419.75,202506
2025-04-04 01:55:00+00:00,5415.0,202506
2025-04-04 02:00:00+00:00,5414.25,202506
2025-04-04 02:05:00+00:00,5415.25,202506
2025-04-04 02:10:00+00:00,5422.0,202506
2025-04-04 02:15:00+00:00,5424.25,202506
2025-04-04 02:20:00+00:00,5423.75,202506
2025-04-04 02:25:00+00:00,5419.0,202506
2025-04-04 02:30:00+00:00,5419.75,202506
2025-04-04 02:35:00+00:00,5420.5,202506
2025-04-04 02:40:00+00:00,5420.25,202506
2025-04-04 02:45:00+00:00,5419.5,202506
2025-04-04 02:50:00+00:00,5418.25,202506
2025-04-04 02:55:00+00:00,5415.75,202506
2025-04-04 03:00:00+00:00,5414.75,202506
2025-04-04 03:05:00+00:00,5409.0,202506
2025-04-04 03:10:00+00:00,5408.25,202506
2025-04-04 03:15:00+00:00,5408.5,202506
2025-04-04 03:20:00+00:00,5408.75,202506
2025-04-04 03:25:00+00:00,5408.0,202506
2025-04-04 03:30:00+00:00,5407.5,202506
2025-04-04 03:35:00+00:00,5397.25,202506
2025-04-04 03:40:00+00:00,5397.75,202506
2025-04-04 03:45:00+00:00,5397.5,202506
2025-04-04 03:50:00+00:00,5396.5,202506
2025-04-04 03:55:00+00:00,5399.25,202506
2025-04-04 04:00:00+00:00,5401.25,202506
2025-04-04 04:05:00+00:00,5400.25,202506
2025-04-04 04:10:00+00:00,5402.0,202506
2025-04-04 04:15:00+00:00,5401.25,202506
2025-04-04 04:20:00+00:00,5399.5,202506
2025-04-04 04:25:00+00:00,5396.75,202506
2025-04-04 04:30:00+00:00,5400.5,202506
2025-04-04 04:35:00+00:00,5397.0,202506
2025-04-04 04:40:00+00:00,5391.5,202506
2025-04-04 04:45:00+00:00,5389.5,202506
2025-04-04 04:50:00+00:00,5389.0,202506
2025-04-04 04:55:00+00:00,5384.5,202506
